scenario,start_date,end_date,notes
dotcom,2000-03-10,2002-10-09,peak-to-trough 77-78% (Nasdaq era)
gfc,2007-10-09,2009-03-09,peak-to-trough 50 % S&P
euro_debt,2011-04-29,2011-10-03,risk-off in EU
jpy_unwind,2024-07-31,2024-08-07,"yen surge, carry unwind"
covid,2020-02-19,2020-03-23,fastest crash window
trump_tariff,2018-09-20,2018-12-24,Q4 selloff + trade war
